Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Species Comments,Checklist Comments
S43031300,Mute Swan,Cygnus olor,328,5,IE-L,Dublin,University College Dublin--Belfield Campus,53.305646,-6.223663,01-15-2018,01:39 PM,eBird - Traveling Count,48,1,2.911,,1,,Four adults and a 2nd calendar year.,"F3 SW, dry, cool, good visibility and 8/8 cloud cover. "
S43593292,Mute Swan,Cygnus olor,328,2,IE-L,Dublin,University College Dublin--Main Lake,53.3076983,-6.2222636,04-03-2008,,Historical,,0,,,1,ON Occupied Nest
S43081780,Mute Swan,Cygnus olor,328,2,IE-L,Dublin,University College Dublin--Main Lake,53.3076983,-6.2222636,11-30-2010,,Historical,,0,,,1,,,"Sightings and pics by Siobhan McNamara. Cold winter temperatures, snow cover and the lake 70% frozen over. Blog post here http://drimnaghbirdwatch.blogspot.ie/2010/11/lunchtime-walk-tues-30-nov.html"
S43081942,Mute Swan,Cygnus olor,328,2,IE-L,Dublin,University College Dublin--Main Lake,53.3076983,-6.2222636,01-21-2011,,Historical,,0,,,1,,,Sightings and pics by Siobhan McNamara. Cold temperatures and icy conditions on the lake. Blog post here http://drimnaghbirdwatch.blogspot.ie/2011/01/nutcracker-ucd.html
S43063038,Mute Swan,Cygnus olor,328,8,IE-L,Dublin,University College Dublin--Main Lake,53.3076983,-6.2222636,05-04-2011,,Historical,,0,,,1,FL Recently Fledged Young,Pair of adults and six cygnets.,Sightings by Siobhan McNamara.
S43082019,Mute Swan,Cygnus olor,328,X,IE-L,Dublin,University College Dublin--Main Lake,53.3076983,-6.2222636,06-02-2011,,Historical,,0,,,1,FL Recently Fledged Young,,Sightings and pics by Siobhan McNamara. Blog post here http://drimnaghbirdwatch.blogspot.ie/2011/06/ucd-chicks.html
S43067120,Mute Swan,Cygnus olor,328,X,IE-L,Dublin,University College Dublin--Main Lake,53.3076983,-6.2222636,07-19-2011,,Historical,,0,,,1,,,Sightings and pics by Siobhan McNamara. Blog post http://drimnaghbirdwatch.blogspot.ie/2011/07/curlew-and-med-gull-in-ucd.html
S43063054,Mute Swan,Cygnus olor,328,2,IE-L,Dublin,University College Dublin--Main Lake,53.3076983,-6.2222636,12-07-2011,,Historical,,0,,,1,,,Sightings by Siobhan McNamara.
S43063141,Mute Swan,Cygnus olor,328,8,IE-L,Dublin,University College Dublin--Main Lake,53.3076983,-6.2222636,04-30-2012,,Historical,,0,,,1,FL Recently Fledged Young,Pair of adults and six cygnets.,Sightings by Siobhan McNamara.
S43082047,Mute Swan,Cygnus olor,328,8,IE-L,Dublin,University College Dublin--Main Lake,53.3076983,-6.2222636,05-03-2012,,Historical,,0,,,1,FL Recently Fledged Young,Pair with six cygnets.,Sightings and pics by Siobhan McNamara. Blog post here http://drimnaghbirdwatch.blogspot.ie/2012/05/6-mute-swan-cygnets-ucd-lake.html
S43082060,Mute Swan,Cygnus olor,328,6,IE-L,Dublin,University College Dublin--Main Lake,53.3076983,-6.2222636,06-01-2012,,Historical,,0,,,1,FL Recently Fledged Young,Pair with four cygnets (down from the original brood size of six).,Sightings and pics by Siobhan McNamara. Blog post here http://drimnaghbirdwatch.blogspot.ie/2012/06/8-mallard-chicks-2-moorhen-chicks-and-4.html
S43063207,Mute Swan,Cygnus olor,328,6,IE-L,Dublin,University College Dublin--Main Lake,53.3076983,-6.2222636,07-25-2012,,Historical,,0,,,1,FL Recently Fledged Young,Pair of adults and four cygnets (two other cygnets present earlier this year presumed missing/dead).,Sightings and pics by Siobhan McNamara. Blog post here http://drimnaghbirdwatch.blogspot.ie/2012/07/tufted-duck-chicks-on-main-lake-ucd.html
S43087262,Mute Swan,Cygnus olor,328,6,IE-L,Dublin,University College Dublin--Main Lake,53.3076983,-6.2222636,11-07-2012,,Historical,,0,,,1,,Pair of adults and four 1st calendar years.,Sightings by Siobhan McNamara.
S43063255,Mute Swan,Cygnus olor,328,6,IE-L,Dublin,University College Dublin--Main Lake,53.3076983,-6.2222636,05-11-2015,,Historical,,0,,,1,FL Recently Fledged Young,Pair of adults and four cygnets.,Sightings per Graham Prole.
S43063269,Mute Swan,Cygnus olor,328,6,IE-L,Dublin,University College Dublin--Main Lake,53.3076983,-6.2222636,08-09-2015,,Historical,,0,,,1,FL Recently Fledged Young,Pair of adults plus four cygnets.,Sightings per Graham Prole.
S43060541,Mute Swan,Cygnus olor,328,5,IE-L,Dublin,University College Dublin--Main Lake,53.3076983,-6.2222636,11-24-2015,,Historical,,0,,,1,,Pair and three 1st calendar years.
S43206598,Mute Swan,Cygnus olor,328,3,IE-L,Dublin,University College Dublin--Main Lake,53.3076983,-6.2222636,02-21-2018,05:40 PM,eBird - Stationary Count,10,1,,,2
S43502810,Mute Swan,Cygnus olor,328,3,IE-L,Dublin,University College Dublin--Main Lake,53.3076983,-6.2222636,03-09-2018,01:06 PM,eBird - Traveling Count,5,1,.175,,1,,Pair and a 2nd calendar year.,"F1 E, cool, dry, good visibility and 8/8 cloud cover."
S43828339,Mute Swan,Cygnus olor,328,2,IE-L,Dublin,University College Dublin--Main Lake,53.3076983,-6.2222636,03-13-2018,05:57 PM,eBird - Stationary Count,8,1,,,1,NB Nest Building
S43905527,Mute Swan,Cygnus olor,328,2,IE-L,Dublin,University College Dublin--Main Lake,53.3076983,-6.2222636,03-22-2018,05:57 PM,eBird - Traveling Count,7,1,.418,,1
S44332384,Mute Swan,Cygnus olor,328,1,IE-L,Dublin,University College Dublin--Main Lake,53.3076983,-6.2222636,04-04-2018,06:30 PM,eBird - Stationary Count,6,1,,,1,ON Occupied Nest
S45188503,Mute Swan,Cygnus olor,328,2,IE-L,Dublin,University College Dublin--Main Lake,53.3076983,-6.2222636,04-21-2018,09:59 AM,eBird - Traveling Count,15,1,1.271,,1,ON Occupied Nest
S45188518,Mute Swan,Cygnus olor,328,2,IE-L,Dublin,University College Dublin--Main Lake,53.3076983,-6.2222636,04-28-2018,10:06 AM,eBird - Traveling Count,16,1,.95,,1,ON Occupied Nest
S45449681,Mute Swan,Cygnus olor,328,2,IE-L,Dublin,University College Dublin--Main Lake,53.3076983,-6.2222636,05-05-2018,10:41 AM,eBird - Traveling Count,13,1,.853,,1,ON Occupied Nest
S45676651,Mute Swan,Cygnus olor,328,2,IE-L,Dublin,University College Dublin--Main Lake,53.3076983,-6.2222636,05-12-2018,10:09 AM,eBird - Traveling Count,15,1,.772,,2,NE Nest with Eggs
S45890976,Mute Swan,Cygnus olor,328,9,IE-L,Dublin,University College Dublin--Main Lake,53.3076983,-6.2222636,05-20-2018,07:25 AM,eBird - Traveling Count,30,1,1.802,,1,FL Recently Fledged Young
S46015412,Mute Swan,Cygnus olor,328,9,IE-L,Dublin,University College Dublin--Main Lake,53.3076983,-6.2222636,05-22-2018,06:01 PM,eBird - Traveling Count,9,1,.37,,2,FL Recently Fledged Young
S46344167,Mute Swan,Cygnus olor,328,10,IE-L,Dublin,University College Dublin--Main Lake,53.3076983,-6.2222636,06-01-2018,05:30 PM,eBird - Traveling Count,10,1,.628,,1,FL Recently Fledged Young
S46344170,Mute Swan,Cygnus olor,328,9,IE-L,Dublin,University College Dublin--Main Lake,53.3076983,-6.2222636,06-05-2018,06:22 PM,eBird - Traveling Count,12,1,.435,,1,FL Recently Fledged Young
S46672747,Mute Swan,Cygnus olor,328,7,IE-L,Dublin,University College Dublin--Main Lake,53.3076983,-6.2222636,06-10-2018,05:53 PM,eBird - Traveling Count,31,1,.483,,1,FL Recently Fledged Young
S46547596,Mute Swan,Cygnus olor,328,9,IE-L,Dublin,University College Dublin--Main Lake,53.3076983,-6.2222636,06-13-2018,08:48 AM,eBird - Traveling Count,9,1,.123,,4,FL Recently Fledged Young,Pair with seven cygnets.,"With Willson Gaul, Larry Clarfield and Kevin Cathcart. F1 SW, dry, warm, good visibility and 8/8 cloud cover"
S46634765,Mute Swan,Cygnus olor,328,9,IE-L,Dublin,University College Dublin--Main Lake,53.3076983,-6.2222636,06-15-2018,08:12 AM,eBird - Stationary Count,7,1,,,1,FL Recently Fledged Young,Pair with a brood of seven cygnets.,"F1 W, dry, mild, good visibility and 8/8 cloud cover."
S46672749,Mute Swan,Cygnus olor,328,2,IE-L,Dublin,University College Dublin--Main Lake,53.3076983,-6.2222636,06-16-2018,08:07 AM,eBird - Traveling Count,30,1,.161,,3,,Didn't see any cygnets on the water.  They might have been hidden on the island.
S46738596,Mute Swan,Cygnus olor,328,9,IE-L,Dublin,University College Dublin--Main Lake,53.3076983,-6.2222636,06-23-2018,10:07 AM,eBird - Stationary Count,10,1,,,2,FL Recently Fledged Young
S46934189,Mute Swan,Cygnus olor,328,9,IE-L,Dublin,University College Dublin--Main Lake,53.3076983,-6.2222636,06-30-2018,08:53 AM,eBird - Stationary Count,10,1,,,3
S47332898,Mute Swan,Cygnus olor,328,9,IE-L,Dublin,University College Dublin--Main Lake,53.3076983,-6.2222636,07-07-2018,08:17 AM,eBird - Stationary Count,10,1,,,1
S47332896,Mute Swan,Cygnus olor,328,9,IE-L,Dublin,University College Dublin--Main Lake,53.3076983,-6.2222636,07-12-2018,08:23 AM,eBird - Stationary Count,5,1,,,1,,,too noisy at 5 minutes to continue
