"Name","Year","Week","Record","clusters"
"Ardea cinerea Linnaeus, 1758",1973,"Wk_9",0,4
"Cygnus olor (Gmelin, 1789)",1973,"Wk_9",0,4
"Anas platyrhynchos Linnaeus, 1758",1973,"Wk_9",1,4
"Accipiter nisus (Linnaeus, 1758)",1973,"Wk_9",0,1
"Falco columbarius Linnaeus, 1758",1973,"Wk_9",0,1
"Falco tinnunculus Linnaeus, 1758",1973,"Wk_9",0,3
"Phasianus colchicus Linnaeus, 1758",1973,"Wk_9",0,1
"Crex crex (Linnaeus, 1758)",1973,"Wk_9",0,1
"Gallinula chloropus (Linnaeus, 1758)",1973,"Wk_9",1,1
"Haematopus ostralegus Linnaeus, 1758",1973,"Wk_9",1,4
"Vanellus vanellus (Linnaeus, 1758)",1973,"Wk_9",0,1
"Pluvialis apricaria (Linnaeus, 1758)",1973,"Wk_9",0,4
"Gallinago gallinago (Linnaeus, 1758)",1973,"Wk_9",0,4
"Scolopax rusticola Linnaeus, 1758",1973,"Wk_9",0,1
"Numenius arquata (Linnaeus, 1758)",1973,"Wk_9",0,1
"Larus marinus Linnaeus, 1758",1973,"Wk_9",0,2
"Larus fuscus Linnaeus, 1758",1973,"Wk_9",0,2
"Larus argentatus Pontoppidan, 1763",1973,"Wk_9",1,2
"Larus canus Linnaeus, 1758",1973,"Wk_9",0,4
"Chroicocephalus ridibundus (Linnaeus, 1766)",1973,"Wk_9",1,4
"Columba oenas Linnaeus, 1758",1973,"Wk_9",1,1
"Columba palumbus Linnaeus, 1758",1973,"Wk_9",1,3
"Streptopelia decaocto (Frivaldszky, 1838)",1973,"Wk_9",0,2
"Columba livia Gmelin, 1789",1973,"Wk_9",1,3
"Cuculus canorus Linnaeus, 1758",1973,"Wk_9",0,1
"Tyto alba (Scopoli, 1769)",1973,"Wk_9",0,3
"Apus apus (Linnaeus, 1758)",1973,"Wk_9",0,2
"Alauda arvensis Linnaeus, 1758",1973,"Wk_9",0,1
"Hirundo rustica Linnaeus, 1758",1973,"Wk_9",0,3
"Delichon urbicum (Linnaeus, 1758)",1973,"Wk_9",0,2
"Corvus cornix Linnaeus, 1758",1973,"Wk_9",0,3
"Corvus frugilegus Linnaeus, 1758",1973,"Wk_9",1,3
"Corvus monedula Linnaeus, 1758",1973,"Wk_9",1,3
"Pica pica (Linnaeus, 1758)",1973,"Wk_9",1,3
"Garrulus glandarius (Linnaeus, 1758)",1973,"Wk_9",0,1
"Parus major Linnaeus, 1758",1973,"Wk_9",1,3
"Cyanistes caeruleus (Linnaeus, 1758)",1973,"Wk_9",1,3
"Periparus ater (Linnaeus, 1758)",1973,"Wk_9",1,1
"Aegithalos caudatus (Linnaeus, 1758)",1973,"Wk_9",0,1
"Certhia familiaris Linnaeus, 1758",1973,"Wk_9",0,1
"Troglodytes troglodytes (Linnaeus, 1758)",1973,"Wk_9",1,1
"Turdus viscivorus Linnaeus, 1758",1973,"Wk_9",1,1
"Turdus pilaris Linnaeus, 1758",1973,"Wk_9",1,1
"Turdus philomelos C. L. Brehm, 1831",1973,"Wk_9",1,3
"Turdus iliacus Linnaeus, 1758",1973,"Wk_9",1,1
"Turdus merula Linnaeus, 1758",1973,"Wk_9",1,3
"Erithacus rubecula (Linnaeus, 1758)",1973,"Wk_9",1,1
"Sylvia atricapilla (Linnaeus, 1758)",1973,"Wk_9",0,1
"Phylloscopus trochilus (Linnaeus, 1758)",1973,"Wk_9",0,1
"Phylloscopus collybita (Vieillot, 1817)",1973,"Wk_9",0,1
"Regulus regulus (Linnaeus, 1758)",1973,"Wk_9",1,1
"Muscicapa striata (Pallas, 1764)",1973,"Wk_9",0,3
"Prunella modularis (Linnaeus, 1758)",1973,"Wk_9",1,1
