"Name","Year","Week","Record"
"Ardea cinerea Linnaeus, 1758",1973,"Wk_9",0
"Cygnus olor (Gmelin, 1789)",1973,"Wk_9",0
"Anas platyrhynchos Linnaeus, 1758",1973,"Wk_9",1
"Accipiter nisus (Linnaeus, 1758)",1973,"Wk_9",0
"Falco columbarius Linnaeus, 1758",1973,"Wk_9",0
"Falco tinnunculus Linnaeus, 1758",1973,"Wk_9",0
"Phasianus colchicus Linnaeus, 1758",1973,"Wk_9",0
"Crex crex (Linnaeus, 1758)",1973,"Wk_9",0
"Gallinula chloropus (Linnaeus, 1758)",1973,"Wk_9",1
"Haematopus ostralegus Linnaeus, 1758",1973,"Wk_9",1
"Vanellus vanellus (Linnaeus, 1758)",1973,"Wk_9",0
"Pluvialis apricaria (Linnaeus, 1758)",1973,"Wk_9",0
"Gallinago gallinago (Linnaeus, 1758)",1973,"Wk_9",0
"Scolopax rusticola Linnaeus, 1758",1973,"Wk_9",0
"Numenius arquata (Linnaeus, 1758)",1973,"Wk_9",0
"Larus marinus Linnaeus, 1758",1973,"Wk_9",0
"Larus fuscus Linnaeus, 1758",1973,"Wk_9",0
"Larus argentatus Pontoppidan, 1763",1973,"Wk_9",1
"Larus canus Linnaeus, 1758",1973,"Wk_9",0
"Chroicocephalus ridibundus (Linnaeus, 1766)",1973,"Wk_9",1
"Columba oenas Linnaeus, 1758",1973,"Wk_9",1
"Columba palumbus Linnaeus, 1758",1973,"Wk_9",1
"Streptopelia decaocto (Frivaldszky, 1838)",1973,"Wk_9",0
"Columba livia Gmelin, 1789",1973,"Wk_9",1
"Cuculus canorus Linnaeus, 1758",1973,"Wk_9",0
"Tyto alba (Scopoli, 1769)",1973,"Wk_9",0
"Apus apus (Linnaeus, 1758)",1973,"Wk_9",0
"Alauda arvensis Linnaeus, 1758",1973,"Wk_9",0
"Hirundo rustica Linnaeus, 1758",1973,"Wk_9",0
"Delichon urbicum (Linnaeus, 1758)",1973,"Wk_9",0
"Corvus cornix Linnaeus, 1758",1973,"Wk_9",0
"Corvus frugilegus Linnaeus, 1758",1973,"Wk_9",1
"Corvus monedula Linnaeus, 1758",1973,"Wk_9",1
"Pica pica (Linnaeus, 1758)",1973,"Wk_9",1
"Garrulus glandarius (Linnaeus, 1758)",1973,"Wk_9",0
"Parus major Linnaeus, 1758",1973,"Wk_9",1
"Cyanistes caeruleus (Linnaeus, 1758)",1973,"Wk_9",1
"Periparus ater (Linnaeus, 1758)",1973,"Wk_9",1
"Aegithalos caudatus (Linnaeus, 1758)",1973,"Wk_9",0
"Certhia familiaris Linnaeus, 1758",1973,"Wk_9",0
"Troglodytes troglodytes (Linnaeus, 1758)",1973,"Wk_9",1
"Turdus viscivorus Linnaeus, 1758",1973,"Wk_9",1
"Turdus pilaris Linnaeus, 1758",1973,"Wk_9",1
"Turdus philomelos C. L. Brehm, 1831",1973,"Wk_9",1
"Turdus iliacus Linnaeus, 1758",1973,"Wk_9",1
"Turdus merula Linnaeus, 1758",1973,"Wk_9",1
"Erithacus rubecula (Linnaeus, 1758)",1973,"Wk_9",1
"Sylvia atricapilla (Linnaeus, 1758)",1973,"Wk_9",0
