Record_Type,Original_Entry,Year,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,Notes
Note,[see notes],1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,“June 2” marked between weeks 22 and 23
Note,[see notes],1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,“Week ending June 30” marked at the start of week 27
Note,[see notes],1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,“Sept 1” marked between week 35 and 36
Species,Heron,1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,**
Species,Mute Swan,1973,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,**
Species,Mallard,1973,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,,,,,,,,,x,,,,,,,,,,
Species,Teal,1973,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Species,Sparrow Hawk,1973,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,x,,,
Species,Merlin,1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Species,Kestrel,1973,,,x,x,,,x,x,x,x,x,x,,x,,x,,,,,,,,x,,,,x,,,,,,,x,,,x,x,x,x,x,x,,,x,,
Species,Pheasant,1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,!**
Species,Water Rail,1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Species,Corncrake,1973,,,,,,,,,,,,,,,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,!
Species,Moorhen,1973,,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,,,x,x,x,x,,,,,,,,,x,x,x,x,x,x,x,x,x,,,,,,,,
Species,Oystercatcher,1973,x,x,x,x,x,x,x,x,x,,x,x,,x,x,,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
Species,Lapwing,1973,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,x,x,,
Species,Golden Plover,1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,**
Species,Snipe,1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,
Species,Woodcock,1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,**
Species,Curlew,1973,,x,x,x,x,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Species,Greater BB Gull,1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,**
Species,Lesser BB Gull,1973,,,,x,,,,,,,,x,,x,x,,,,x,x,x,,,x,x,x,x,x,x,x,,x,,,,,,,,,,,,,,,,
Species,Herring Gull,1973,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
Species,Common Gull,1973,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,x,,x,,,,x,x,,
Species,Black Headed Gull,1973,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,,x,,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
Species,Stock Dove,1973,,,,x,,x,x,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,x,x,x,,
Species,Wood Pigeon,1973,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
Species,Collared Dove,1973,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,,,,,
Species,Town Pigeon,1973,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,x,x,x,x,x,x,,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
Species,Cuckoo,1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,**
Species,Barn Owl,1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,!**
Species,Swift,1973,,,,,,,,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,
Species,Skylark,1973,,,,,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,**
Species,Swallow,1973,,,,,,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,x,x,x,x,x,x,,,,,,,,,,,
Species,House Martin,1973,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,,,,,,,,,,,,,,
Species,Hooded Crow,1973,,,x,,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
Species,Rook,1973,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
Species,Jackdaw,1973,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
