Record_Type,Original_Entry,Year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,NA,NA,Notes
Weather,Weather,1974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Species,Heron,1974,,,,,,,,,,,,,,,NA,,,,,,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,O,,,,NA,NA,
Species,Mute Swan,1974,,,,,,,,O3,,,,,,,NA,,,,,,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,NA,NA,
Species,Mallard,1974,O,U,2F12,,6U10,6U,3U8,3U6,F,C2,C2,F,C,C,NA,F,F,F,F,C,F,U,U,U,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,F,F12,F,F,F,F,F,U,F,,F,F,F,F,C,NA,NA,
Species,Teal,1974,,,,,,,,,,,,,,,NA,,,,,,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,NA,NA,
Species,Sparrow Hawk,1974,,,,O,,,,,,,,,O,,NA,O,,,,,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,O,,,,,,,,,,NA,NA,
Species,Merlin,1974,,,,,,,,,,,,,,,NA,,,,,,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,NA,NA,
Species,Kestrel,1974,,,,,,O,,,O,U,O,U,U,,NA,,O,,,,,O,O,O,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,U,U,U,,,,O,U,O,O,,,O,U,NA,NA,
Species,Pheasant,1974,,,,,,,,,,,,,,,NA,,,,,,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,NA,NA,
Species,Corncrake,1974,,,,,,,,,,,,,,,NA,,,,,,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,NA,NA,
Species,Moorhen,1974,,O,O,,,,O,U,O,O,,O,O,,NA,U,O,U,U,U*,U,U,U,U,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,O,,,,,,,,O,O,NA,NA,"*""chicks"""
Species,Oystercatcher,1974,CF20,12F40,10F40,F50,F30,F50,F50,F30,C30,C30,F30,F20,F30,F20,NA,,O,,,,O,,O,O,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,F20-60,F,F,C,C,A,A,C,C,C,C,C,C,C,C,NA,NA,
Species,Lapwing,1974,,,,,,,,,,,,,,,NA,,,,,,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,NA,NA,
Species,Golden Plover,1974,,,,,,,,,,,,,,,NA,,,,,,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,NA,NA,
Species,Snipe,1974,,,,,,,,,,,,,,,NA,,,,,,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,NA,NA,
