Record_Type,Original_Entry,Year,NA,09/01,16/01,23/01,30/01,06/02,13/02,20/02,27/02,06/03,13/03,20/03,27/03,03/04,NA,NA,23/04,30/04,07/05,14/05,21/05,28/05,04/06,11/06,18/06,24/06,01/07,NA,NA,NA,NA,NA,NA,NA,NA,NA,11/09,18/09,25/09,01/10,08/10,15/10,23/10,30/10,06/11,13/11,20/11,27/11,04/12,11/12,18/12,25/12,Notes
Weather,Weather,1982,NA,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,
Species,Heron,1982,NA,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,O,,,,,,,,,
Species,Mute Swan,1982,NA,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,
Species,Mallard,1982,NA,,,,,,,1F5,A,,A,4R,,2R,NA,NA,C,C,U,F,C,C*,C**,C***,C****,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,10R,5R,4R,2R,2R,F,,,,U3,,,,,,,
Species,Teal,1982,NA,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,
Species,Sparrow Hawk,1982,NA,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,U,,,,,,,,,,,,,,,
Species,Merlin,1982,NA,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,
Species,Kestrel,1982,NA,,,,,,O,,,,,,,,NA,NA,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,O,U,,,,U,,,,,,,,,,,
Species,Pheasant,1982,NA,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,
Species,Corncrake,1982,NA,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,
Species,Moorhen,1982,NA,U,,F,F,F,F,F,F,F,F,,F,F,NA,NA,F,C2,F,F,F,F,F,F*,C5,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,5R,2R,2R,3R,3R,3R,2R,3R,4R,,3R,3R,3R,3R,,,
Species,Oystercatcher,1982,NA,A,,A,A,A,A,A,A,A,A,A,,,NA,NA,,,,,,,,C,F4,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,
Species,Lapwing,1982,NA,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,
