Record_Type,Original_Entry,Year,NA,13/01,20/01,27/01,04/02,11/02,18/02,NA,03/03,10/03,16/03,23/03,30/03,06/04,14/04,21/04,28/04,05/05,12/05,19/05,26/05,02/06,09/06,16/06,23/06,30/06,07/07,NA,NA,NA,NA,11/08,18/08,25/08,01/09,08/09,15/09,22/09,29/09,06/10,13/10,20/10,27/10,03/11,10/11,17/11,24/11,01/12,08/12,15/12,22/12,29/12,Notes
Weather,Weather,1984,NA,,,,,,,NA,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,
Species,Heron,1984,NA,,,,,,,NA,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,
Species,Mute Swan,1984,NA,,,,,,,NA,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,U,,,,
Species,Mallard,1984,NA,2R,C,,U,C,C,NA,F,C,C,C,A,A,C,C,A,A,A*,A,A,A,A,A,A,A,A,NA,NA,NA,NA,A,A,A,A,C,,A*,A,A,F,U,,,,,,,,F,C,C,
Species,Teal,1984,NA,,,,,,,NA,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,
Species,Sparrow Hawk,1984,NA,,,,,,,NA,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,,,,,,,,,,U,,,,,,,O,,O,,O,
Species,Merlin,1984,NA,,,,,,,NA,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,
Species,Kestrel,1984,NA,,,,,,,NA,,,,,,,,,,,,O,,,,,,,,NA,NA,NA,NA,,,,U,U,,,,,,,,,,,,,O,,,,
Species,Pheasant,1984,NA,,,,,,,NA,,,,,,,,,,,,O,O,O,R2,,,,,NA,NA,NA,NA,,,,,,,,,,,O*,,,O*,,O,,,O,,,
Species,Landrail,1984,NA,,,,,,,NA,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,
Species,Moorhen,1984,NA,3R,3R,4R,4R,4R,4R,NA,3R,2R,2R,2R,4R,4R,2R,2R,O,C,C,C,C,C*,C,C,C,C,C,NA,NA,NA,NA,,O,O,2R,2R,2R,2R,2R,2R,2R,2R,2R,F,2R,2R,2R,2R,2R,2R,2R,2R,
Species,Oystercatcher,1984,NA,A,A,A,A,A,A,NA,A,A,A,A,A,A,A,,F,,,,,,,,,,,NA,NA,NA,NA,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,
Species,Lapwing,1984,NA,,,,,,,NA,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,
Species,Golden Plover,1984,NA,,,,,,,NA,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,
Species,Snipe,1984,NA,,,,,,,NA,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,
Species,Woodcock,1984,NA,,,,,,,NA,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,
Species,Redshank,1984,NA,1R,1R,U,U,U,,NA,O,,O,,U,,,,,,,,,,,,,,,NA,NA,NA,NA,,,,,,,,,,,,,,2,,U,,,O,U,,
Species,Curlew,1984,NA,,,,,O,,NA,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,,,,,,,,,,,,,,,O,O,,,,,,
Species,Greater B-B Gull,1984,NA,,,,,,,NA,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,
Species,Lesser B-B Gull,1984,NA,,,,,,,NA,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,
Species,Herring Gull,1984,NA,C,C,C,C,C,A,NA,C,C,C,C,C,C,C,C,C,C,U,,F,,U,U,U,C,C,NA,NA,NA,NA,A,A,A,A,A,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,
Species,Common Gull,1984,NA,U,O,,,,F,NA,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,,,,,,,,,,,,O,O,,,,,O,O,,,
Species,Black-Headed Gull,1984,NA,A,A,A,A,A,A,NA,A,A,C,C,C,C,,,,,,,,,,,,,,NA,NA,NA,NA,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,
Species,Stock Dove,1984,NA,,,,,,,NA,,,,,,,U,,U,O,,,,,,O,,,,NA,NA,NA,NA,,,,,,,,,,,U,O,,,,,,,,,,
Species,Wood Pigeon,1984,NA,A,A,A,A,A,A,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,NA,NA,NA,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,
Species,Collared Dove,1984,NA,,,,,,,NA,,,,,,,1,,,,,,,,,,,,,NA,NA,NA,NA,,,,,,,,,,,,,O,,,,,,,,,
Species,Town Pigeon,1984,NA,,,,,,,NA,,,,,,,U,,,,,,,,,,,1,,NA,NA,NA,NA,,,,,F,O,,,,O,,,,,,,,U,,,,
Species,Cuckoo,1984,NA,,,,,,,NA,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,
Species,Barn Owl,1984,NA,,,,,,,NA,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,
Species,Swift,1984,NA,,,,,,,NA,,,,,,,,,,,,C,A,A,A,A,A,A,A,NA,NA,NA,NA,A,A,A,,,,,,,,,,,O,,,,,,,,
Species,Skylark,1984,NA,,,,,,,NA,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,
Species,Swallow,1984,NA,,,,,,,NA,,,,,,,U,,3,C,C,C,C,A,A,A,A,A,A,NA,NA,NA,NA,A,A,A,A,A,A,C,10,,,,,,,,,,,,,,
Species,House Martin,1984,NA,,,,,,,NA,,,,,,,,,,6,F,F,O,F,F,A,A,A,A,NA,NA,NA,NA,A,A,A,A,A,A,C,2,,,,,,,,,,,,,,
Species,Hooded Crow,1984,NA,C,C,C,C,C,C,NA,C,C,C,C,C,C,C,C,F,C,C,C,C,C,C,C,F,F,,NA,NA,NA,NA,,,C,C,C,C,C,C,C,F,C,C,C,C,C,C,C,C,C,C,C,
Species,Rook,1984,NA,A,A,A,A,A,A,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,NA,NA,NA,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,
Species,Jackdaw,1984,NA,A,A,A,A,A,A,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,NA,NA,NA,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,
Species,Magpie,1984,NA,A,A,A,A,A,A,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,NA,NA,NA,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,
Species,Jay,1984,NA,,,,,,,NA,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,
Species,Great Tit,1984,NA,C,C,C,C,C,C,NA,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,A,A,NA,NA,NA,NA,C,C,C,C,C,C,C,C,C,A,A,C,C,C,C,C,C,C,C,C,C,
Species,Blue Tit,1984,NA,A,A,A,A,A,A,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,NA,NA,NA,NA,A,A,A,A,A,A,A,A,A,A,A,C,A,A,A,A,A,A,A,A,A,
Species,Coal Tit,1984,NA,U,U,U,,,F,NA,U,F,C,U,,,O,U,,,O,,,O,O,,U,U,,NA,NA,NA,NA,F,F,,F,F,U,U,C,F,C,C,U,C,U,U,C,U,C,C,U,,
Species,Long-Tailed Tit,1984,NA,,,,,,,NA,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,2F15,,,F10,
Species,Tree Creeper,1984,NA,,,,,,,NA,,,,,,,O,,,,,,,,,,,,,NA,NA,NA,NA,O,,,,O,U*,,,,,,,,,,,,,,,,
Species,Wren,1984,NA,C,C,C,C,C,C,NA,C,C,C,C,C,C,C,C,A,A,A,A,A,A,A,A,C,C,A,NA,NA,NA,NA,A,C,C,C,C,A,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,
Species,Mistle Thrush,1984,NA,C,C,C,C,A,C,NA,C,C,C,C,C,C,C,,F,U,U,F,C,C,F,C,F,U,,NA,NA,NA,NA,F12,,F12,F4,U,,U,U,O,,F,U,O,F,C,C,C,C,C,C,C,
Species,Fieldfare,1984,NA,,,C,,,,NA,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,,,,,,,,,,,,,,,,,U,,,F12,C,
Species,Song Thrush,1984,NA,C,C,A,C,C,C,NA,C,C,C,C,C,C,C,C,C,C,C,C,C,A,C,C,C,C,C,NA,NA,NA,NA,,,O,U,C,C,C,C,C,F,F,F,C,C,C,C,C,C,C,C,C,
Species,Redwing,1984,NA,U,C,A,A,A,A,NA,A,C,F6,F6,F5,,,,,,,,,,,,,,,NA,NA,NA,NA,,,,,,,,,,,,,,,O,U,C,C,C,C,F35,
Species,Blackbird,1984,NA,A,A,A,A,A,A,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,NA,NA,NA,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,
Species,Stonechat,1984,NA,,,O,,,,NA,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,
Species,Robin,1984,NA,A,A,A,A,A,A,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,NA,NA,NA,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,
Species,Blackcap,1984,NA,,O,,,,,NA,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,,,,,,,,,,,,,,O,,O,O,,,,,
Species,Willow Warbler,1984,NA,,,,,,,NA,,,,,,,,O,O,,,,,,,,O,U,O,NA,NA,NA,NA,,,,F,,U*,,,,,,,,,,,,,,,,
Species,Chiff Chaff,1984,NA,,,,,,,NA,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,
Species,Goldcrest,1984,NA,F,F,U,F,F,C,NA,F,F,F,U,F,U,U,U,F,C,C,C,C,C,,U,U,,,NA,NA,NA,NA,C,,C,F,C,C,U,C,C,C,C,C,C,U,,F,U,F,F,F,,
Species,Spotted Flycatcher,1984,NA,,,,,,,NA,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,2,O,,O,,,,,,,,,,,,,,,,,,
Species,Dunnock,1984,NA,U,F,C,C,C,C,NA,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,NA,NA,NA,NA,,,C,,U,F,F,F,F,F,C,C,C,C,C,C,C,C,C,C,C,
Species,Meadow Pipit,1984,NA,U,O,O,,O,F,NA,,,,,U,,F,,,,,,,,,,,,,NA,NA,NA,NA,,,,,,,,10R,C,C,C,F,F,U,U,,U,F,,,O,
Species,Pied Wagtail,1984,NA,A,A,A,A,A,A,NA,A,A,A,A,A,A,A,A,A,A,A,?,O,O,O,?,C,C,A,NA,NA,NA,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,
Species,Grey Wagtail,1984,NA,,F,U,U,O,,NA,O,U,O,,,,,,,,,,,,,,,,,NA,NA,NA,NA,,,,,O,O,,,,,,,,U,U,,,,U,,,
Species,Starling,1984,NA,C,C,C,C,A,A,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,NA,NA,NA,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,
Species,Greenfinch,1984,NA,F,F,F,C,C,C,NA,C,C,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,NA,NA,NA,NA,A,A,A,A,A,F40,F40,F40,F40,C,A,C,C,A,A,A,A,A,A,A,A,
Species,Goldfinch,1984,NA,U,F4,U,F,,F,NA,,F10,,,O,O,,U,F,C,F,C,U,,,,O,,,NA,NA,NA,NA,A,,F8,,C,,,,,,,,,,,,,,,,U,
Species,Siskin,1984,NA,,,O,O,,2,NA,O,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,
Species,Linnet,1984,NA,50R,A,A,A,A,A,NA,C,A,A,A,A,A,A,,,,,,O,,2,3,,,2,NA,NA,NA,NA,3,,,F30,,,,,,,,,U,C,A,A,A,A,A,A,A,
Species,Redpoll,1984,NA,,,,,,,NA,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,
Species,Bullfinch,1984,NA,F,F,,,,,NA,,,U,U,U,U,U,U,U,U,,F,U,U,U,,C,,O,NA,NA,NA,NA,C,,O,O,C,C,C,F,C,U,F,F,F,U,C,U,U,C,F,F,F,
Species,Crossbill,1984,NA,,,,,,,NA,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,
Species,Chaffinch,1984,NA,C,C,C,C,C,C,NA,C,C,C,C,C,C,C,C,C,A,C,C,A,A,A,A,A,A,A,NA,NA,NA,NA,U,A,A,U,U,O,,U,C,F,C,C,C,A,A,A,A,A,A,A,A,
Species,Brambling,1984,NA,,,,,,,NA,,,,,2C,U,O,,,,,,,,,,,,,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,
Species,Yellow Bunting,1984,NA,,,,,,,NA,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,
Species,Reed Bunting,1984,NA,,,,,,,NA,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,
Species,House Sparrow,1984,NA,O,O,U,O,F,O,NA,,F,,,F,F,U,U,C,F,C,F,F,C,,U,,O,,NA,NA,NA,NA,,,,,,,,U,C,,,,,,,,,O,U,,,
