Record_Type,Original_Entry,Year,05/01,12/01,19/01,26/01,02/02,09/02,16/02,23/02,02/03,09/03,16/03,23/03,30/03,NA,14/04,21/04,28/04,05/05,12/05,19/05,26/05,02/06,09/06,16/06,23/06,30/06,NA,NA,NA,NA,03/08,10/08,17/08,24/08,31/08,07/09,14/09,21/09,28/09,06/10,13/10,20/10,27/10,03/11,10/11,17/11,24/11,31/11,07/12,14/12,21/12,28/12,Notes
Weather,Weather,1985,,,,,,,,,,,,,,NA,,,,,,,,,,,,,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
Species,Heron,1985,,,,,,,,,,,,,,NA,O,,,,,O,,,O,,,,NA,NA,NA,NA,O,,,,,,,,,,,,,,,,,,,,,,
Species,Mute Swan,1985,,,,,,,,,,,,,,NA,,,,,,,,,,,,,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
Species,Mallard,1985,C,F,,U,C,C,F,C,C,C,C,C,C,NA,C,C,A,A,A,A,A,A*,A,A,A**,A,NA,NA,NA,NA,A,A,A,A,C,A,A,A,A,,A,C,C,C,C,C,F,,,C,C,C,
Species,Teal,1985,,,,,1R,O,U,O,,,,,,NA,,,,,,,,,,,,,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
Species,Sparrow Hawk,1985,,,,,O,O,,O,O,U,,,,NA,,,,,,,,,,,,,NA,NA,NA,NA,O,,,,,,,O,O,,,O,,,,,,O,O,,,,
Species,Merlin,1985,,,,,,,,,,,,,,NA,,,,,,,,,,,,,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
Species,Kestrel,1985,O,,,,U,,O,O,,O,,,,NA,,O,,,,O,,O,O,O,,O,NA,NA,NA,NA,,,,,O,,,,,O,,,,,,,,O,U,U,,O,
Species,Pheasant,1985,,,,,O,,,,,O,O,,,NA,,,,O,O,O,U,,O,U,,,NA,NA,NA,NA,,O,,,,,,,,,O,,,O,,,,O,,,,,
Species,Land Rail,1985,,,,,,,,,,,,,,NA,,,,,,,,,,,,,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
Species,Moorhen,1985,2R,2R,2R,2R,2R,2R,2R,2R,2R,2R,2R,2R,2R,NA,2R,2R,2R,8R*,8R,7R,5R,5R,4R,4R,4R,4R,NA,NA,NA,NA,2R,2R,2R,O,4R,4R,C,C,C,C,3R,3R,C,2R,2R,2R,2R,2R,2R,2R,2R,2R,
Species,Oystercatcher,1985,A,A,A,A,A,A,A,A,A,A,F,,,NA,,,,,,,,,,,,,NA,NA,NA,NA,,F30*,2F30,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,
Species,Lapwing,1985,,,A,C,,,U,U,U,,,,,NA,,,,,,,,,,,,,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
Species,Golden Plover,1985,,,,,,,,,,,,,,NA,,,,,,,,,,,,,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
Species,Snipe,1985,,,4,U,,,,O,,,,,,NA,,,,,,,,,,,,,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,O,,,2,,
Species,Woodcock,1985,,,,,,,,,,,,,,NA,,,,,,,,,,,,,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
