Record_Type,Original_Entry,Year,04/01,11/01,18/01,25/01,01/02,08/02,15/02,22/02,01/03,08/03,15/03,22/03,29/03,06/04,13/04,19/04,26/04,03/05,10/05,17/05,24/05,31/05,07/06,14/06,21/06,28/06,06/07,13/07,19/07,26/07,02/08,09/08,16/08,23/08,30/08,07/09,14/09,21/09,28/09,05/10,12/10,19/10,26/10,02/11,09/11,16/11,23/11,30/11,07/12,14/12,21/12,28/12,Notes
Weather,Weather,1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Species,Heron,1986,,,,,,,,O,,,,,,,,,,,,,,,,,,,,,,,,O,,,,,,,,,,,,,,,,,,,,,
Species,Mute Swan,1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Species,Mallard,1986,C,C,C,C,C,C,U,,O,C,C,C,C,C,C,C,C,A,A,C,C,C,C,C,C,C,C,,C,A,A,A,A,A,A,A,A,A,A,,U,U,,,A,A,A,A,A,A,A,A,
Species,Teal,1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Species,Sparrow Hawk,1986,,,,,,,,O,O,,,,,,,O,,,,O,,,,O,,,,,,O,,2,,O,,O,O,2,O,,,,O,2,O,,,,O,U,O,O,
Species,Merlin,1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O,,,,,,
Species,Kestrel,1986,,U,O,,,,,,,,,,,,O,,,,,,,,O,,O,O,,,,,,,,,,,,,,,,,,,,,,O,U,O,O,,
Species,Pheasant,1986,,,,,,,,,,,,,,,O,U,FR,1R,1R,1R,O,U,,O,U*,,,,,,,,,,,,O,,,,O,O,O,,,,,,O,,,,
Species,Land Rail,1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Species,Moorhen,1986,2R,2R,2R,2R,2R,3R,C,C,C,C,C,C,C,C,C,C,C,C,C,?,2R,U,,O,U*,O,,,,,,,,OJ,,U**,F**,F,F,F,2R,2R,2R,2R,2R,2R,2R,2R,2R,2R,2R,2R,
Species,Oystercatcher,1986,A,A,A,A,A,A,A,A,A,A,A,,,O,,,,,,,,,,,,,,,,,3*,A,A,A,A,,,,,,,O,C,A,A,A,A,A,A,A,A,A,
Species,Lapwing,1986,,,,,,,3,,A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Species,Golden Plover,1986,,,,,,,,2,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Species,Snipe,1986,4,,,,O,O,O,2,O,O,,,,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O,,,,,,,
Species,Woodcock,1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Species,Redshank,1986,,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Species,Curlew,1986,F4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7 F10,O,C,C,,O,U,U,O,
Species,Greater B-B Gull,1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O,,,,,,,,,,,,,,,,,,
Species,Lesser B-B Gull,1986,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,,O,,,,,O,
Species,Herring Gull,1986,A,A,A,A,A,A,A,A,A,A,A,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,
Species,Common Gull,1986,5,,,O,,,O,,,O,,,,,,,,,,,,,,,,O,,,,,,,,O,,O,,,,,,,O,,,2,2,,O,U,,,
Species,Black-Headed Gull,1986,A,A,A,A,A,A,A,A,A,A,A,A,C,C,U,U,,,,,,,,,,O,2,,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,
Species,Stock Dove,1986,,,O,,,,,O,U,,,,,C,U,U,U,U,U,,O,U,U,U,U,U,U,,,,,U,U,U,U,O,,U,O,,,,,,O,,,U,,O,,,
Species,Wood Pigeon,1986,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,
