Record_Type,Original_Entry,Year,04/01,11/01,18/01,25/01,01/02,08/02,15/02,22/02,01/03,08/03,15/03,22/03,29/03,05/04,12/04,19/04,26/04,03/05,10/05,17/05,24/05,31/05,07/06,13/06,20/06,28/06,05/07,12/07,NA,26/07,02/08,09/08,16/08,23/08,30/08,06/09,13/09,20/09,27/09,04/10,11/10,18/10,25/10,01/11,08/11,15/11,22/11,29/11,06/12,13/12,20/12,27/12,Notes
Weather,Weather,1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,
Species,Cormorant,1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,
Species,Grey Heron,1987,,O,,,,,,,,,,,,,,,,,,,,,O,,,,,,NA,,,,,,,,,,,,,O,O,,,U,,,,,,,
Species,Mute Swan,1987,,,,4R,C,1R,1R,1R,1R,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,
Species,Snow Goose,1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,
Species,Teal,1987,,,O,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,
Species,Mallard,1987,A,A,U,I,,C,C,C,C,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,C,C,,,,,,,,,
Species,Tufted Duck,1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,
Species,Sparrow Hawk,1987,,,,O,O,,O,,,,O,,,,,O,,,,,,,,,O,,O,,NA,,,,,,U,U,O,,,O,,,,O,O,O,O,,,,,,
Species,Kestrel,1987,O,O,,,,,,,O,,,,O,,,,,,,O,,,,,O,,,,NA,O,,,,,,,,,,,,,,,,,,,U,O,U,,
Species,Merlin,1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,
Species,Pheasant,1987,,,,,,O,,,,,,,,,,F,U,U,U,U,U,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,
Species,Water Rail,1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,
Species,Corn Crake,1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,
Species,Moorhen,1987,2R,2R,2R,2R,2R,2R,2R,2R,2R,2R,2R,2R,2R,2R,2R,2R,2R,2R,2R,2R,2R,2R,2R,2R*,2R,C,C,C,NA,C,C,,O,O,F,U,U,,U,,,2R,2R,2R,2R,2R,,2R,2R,2R,2R,2R,
Species,Oystercatcher,1987,A,A,A,A,A,A,A,A,A,A,A,A,A,A,C,,,,,,,,,,,,,,NA,,,,F6*,O,F,U,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,
Species,Golden Plover,1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,
Species,Lapwing,1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,
Species,Snipe,1987,,,5,,,,,,,,,,,O,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,O,,,,,
Species,Woodcock,1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Species,Curlew,1987,,U,U,O,O,,3,A,F6,F11,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,O,,O,,F35,F20,,,,F8,
Species,Redshank,1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,
Species,Black-Headed Gull,1987,A,A,A,A,A,A,A,A,A,A,A,A,A,C,C,,,,,,,,,,O,U,U,U,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A*,A,A,A,
Species,Common Gull,1987,O,2,C,,,,,,O,,,,,U,O,,,,,,,,,,,,O,,NA,,,,,,F,U,O,U,U,O,,,O,U,,U,O,,,,,,
Species,Lesser B-B Gull,1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,
Species,Herring Gull,1987,C,C,A,A,A,A,A,A,A,A,A,A,A,C,C,F,C,C,C,F,C,C,C,C,C,C,C,C,NA,C,C,C,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,
Species,Greater B-B Gull,1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,2,,,,,
Species,Town Pigeon,1987,F,F,,U,U,C,F,U,U,F,C,,,F,,F,F,F,,F,F,F,F,U,,U,F,F,NA,F,F,U,F,F,U,F,C,F,U,U,,U,,U,U,F,,,,U,,,
Species,Stock Dove,1987,,,,O,,,,,,,4,,,,F,,O,,,U,,,,,,,,,NA,,,,O,,O,O,,O,O,,,,,,,O,,2,,,,,
Species,Wood Pigeon,1987,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,
Species,Collared Dove,1987,,,,,,,,,,,,,,,,O,,,,,,,,,,,,,NA,,2,,,,,,,,,,,,,,,,,,,,,,
Species,Cuckoo,1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,
Species,Long-Eared Owl,1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,
Species,Swfit,1987,,,,,,,,,,,,,,,,,,,F6*,A,A,A,A,A,A,A,A,A,NA,A,A,A,C,O,O**,,,,,,,,,,,,,,,,,,
Species,Kingfisher,1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,
Species,Skylark,1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,
Species,Swallow,1987,,,,,,,,,,,,,,,O*,U,C,C,C,C,A,A,A,C,A,A,A,A,NA,A,A,A,A,F,A,A,A,A,U,,,,,,3*,,,,,,,,
Species,House Martin,1987,,,,,,,,,,,,,,,,,,,O,F,C,F,,C,A,A,A,A,NA,A,A,A,A,F,A,C,C,U,U,,F8,,,,,,,,,,,,
Species,Meadow Pipit,1987,O,O,O,O,U,U,U,U,C,C,C,U,U,C,U,O,,,,,,,,,,,,,NA,,,O,U,,O,U,,,O,O,,F5,F20,,C,F12,,,,,,3,
Species,Grey Wagtail,1987,,,,,,,O,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,O,,O,,,,,,O,O,O,O,O,
Species,Pied Wagtail,1987,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,
Species,Wren,1987,A,A,C,A,A,A,A,A,A,A,A,A,A,A,C,A,A,A,A,A,A,A,A,A,A,A,A,A,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,
Species,Dunnock,1987,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,A,A,A,A,A,A,A,NA,A,A,C,A,A,A,A,A,A,A,A,A,C,C,C,C,C,C,C,C,C,C,C,
Species,Robin,1987,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,
Species,Stonechat,1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,O,O,,,,,,,,,,,,,,,,,,,,,
Species,Wheatear,1987,,,,,,,,,,,,,,,O*,,,,,,,,,,,,,,NA,,,,O,,O,,,,,,,,,,,,,,,,,,
Species,Blackbird,1987,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,
Species,Fieldfare,1987,,,A,,,,,,,,,O,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,
Species,Song Thrush,1987,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,NA,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,
Species,Redwing,1987,,C,A,C,A,C,A,A,A,A,A,A,A*,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,3,,,,,,O,,,
Species,Mistle Thrush,1987,O,U,,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,A,A,C,,,NA,F9,F15,C,,,C,F,A,C,U,,,U,F,F,U,,U,U,,U,U,U,
Species,Whitethroat,1987,,,,,,,,,,,,,,,,,,,,,O,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,
Species,Black Cap,1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,
Species,Chiff Chaff,1987,,,,,,,,,,,,,,,,,O,,,,,O,,O,,O,,,NA,,,,O,O,,,O,F4,,,,,,,,,,,,,,,
Species,Willow Warbler,1987,,,,,,,,,,,,,,,,F,F,F,U,,F,,,,,,,,NA,,U,U,U,U,O,,F5,,,,,,,,,,,,,,,,
Species,Goldcrest,1987,U,U,,U,,,F,U,,,F,,,,O,,O,O,,U,U,C,C,F,,F,F,F,NA,,,,,,,U,U,U,F,C,U,U,O,,,,O,,,O,O,,
