Record_Type,Original_Entry,Year,03/01,10/01,17/01,24/01,31/01,07/02,14/02,21/02,28/02,06/03,13/03,20/03,27/03,NA,10/04,17/04,24/04,01/05,08/05,15/05,22/05,29/05,05/06,11/06,18/06,25/06,03/07,NA,NA,24/07,31/07,07/08,14/08,21/08,28/08,04/09,11/09,18/09,25/09,02/10,09/10,16/10,23/10,30/10,06/11,13/11,20/11,27/11,04/12,11/12,18/12,25/12,Notes
Weather,Weather,1988,Wet & Mild & Windy & Cold,Wet & Mild & Windy,Fine & Mild,Wet & Cold & Snow,Mild & Wet,Cold & Wet & Windy,Storm & Cold,Mild & Fine,Cool & Fine,Cold & Frost & Dry,Dry & Mild,NA,Fine & Windy,NA,Fine & Sunny & Cool & Breeze,Fine & Warm & Humid,Fine & Cold & Windy,Fine & Cold & Windy,Wet & Fine & Cold & Mild,Fine,Fine & Dry,Fine & Showers,Fine & Showers,Fine & Dry,Fine & Warm & Dry,Fine & Warm & Dry,Fine & Rain,NA,NA,Showers,Showers & Windy,Warm & Sunny & Humid,Humid & Rain,Dry & Showers,Dry & Windy,Dry & Windy & Rain,Dry & Sunny & Warm,Dry & Cloudy,Dry & Cloudy & Windy & Rain,Fine,Windy,Mild,Mild,Fine & Rain,Fine & Frosty,NA,Fine & Mild,Frost & Cold,Rain,Mild & Dry,Mild & Dry,Mild & Showers,
Species,Cormorant,1988,,,,,,,,,,,,NA,,NA,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,NA,,,,,,,
Species,Grey Heron,1988,,,,,O,,,,,,,NA,,NA,,,,,,,,,,O,,,,NA,NA,1R,1R,1R,1R,1R,1R,1R,1R,1R,1R,1R,1R,1R,1R,1R,,NA,O,,,U,,,
Species,Mute Swan,1988,,,,,,,,,,,,NA,,NA,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,NA,,,,,O,,
Species,Snow Goose,1988,,,,,,,,,,,,NA,,NA,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,NA,,,,,,,
Species,Teal,1988,,,,,,,,,,,,NA,,NA,,,,,,,,,,,,,,NA,NA,,,,,,,,,O,,,,,,,,NA,,,,,,,
Species,Mallard,1988,,U,,,,,,U,U,C,C,NA,C,NA,A*,A*,A,A,A,A,A,A,A,A,A,A,A,NA,NA,A,A,A,A,A,A,A,A,A,A,A,C,U,,O,,NA,,,,,C**,C**,"*""one white"" & **""roost"""
Species,Tufted Duck,1988,,,,,,,,,,,,NA,,NA,,,F4,,F,U,U,O,,,,,,NA,NA,,,,,,,,,2,,O,,,,,,NA,,,,,,,
Species,Sparrow Hawk,1988,,,,O,,O,O,,,,,NA,O,NA,,,,,,,,,,,,,,NA,NA,2R,2R,2R,2R,2R,,O,,,O,,,U,,U,,NA,,O,,O,O,,
Species,Kestrel,1988,O,,,,O,,O,,O,O,,NA,,NA,,,,,,,,,,,,,,NA,NA,,,,,,,,,,U,,,,,F,,NA,1R,1R,1R,1R,,,
Species,Merlin,1988,,,,,,,,,,,,NA,,NA,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,NA,,,,,,,
Species,Pheasant,1988,,,,,,,,,,,,NA,,NA,,,,,,,,,,,,,,NA,NA,,,,,O,,,,,,,,,,,,NA,,,,,,,
Species,Water Rail,1988,,,,,,,,,,,,NA,,NA,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,NA,,,,,,,
Species,Corn Crake,1988,,,,,,,,,,,,NA,,NA,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,NA,,,,,,,
