Record_Type,Original_Entry,Year,03/01,10/01,17/01,24/01,31/01,07/02,14/02,21/02,28/02,06/03,13/03,20/03,27/03,03/04,10/04,17/04,24/04,01/05,08/05,15/05,22/05,29/05,05/06,11/06,18/06,25/06,03/07,24/07,31/07,07/08,14/08,21/08,28/08,04/09,11/09,18/09,25/09,02/10,09/10,16/10,23/10,30/10,06/11,13/11,20/11,27/11,04/12,11/12,18/12,25/12,Notes
Species,CORMORANT,1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Species,GREY HERON,1988,,,,,O,,,,,,,,,,,,,,,,,,,O,,,,1R,1R,1R,1R,1R,1R,1R,1R,1R,1R,1R,1R,1R,1R,1R,,,O,,,U,,,
Species,MUTE SWAN,1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O,,
Species,SNOW GOOSE,1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Species,TEAL,1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O,,,,,,,,,,,,,,,
Species,MALLARD,1988,,U,,,,,,U,U,C,C,,C,,A*,A*,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,C,U,,O,,,,,,,C**,C**,* One WHITE; ** Roost
Species,TUFTED DUCK,1988,,,,,,,,,,,,,,,,,F4,,F,U,U,O,,,,,,,,,,,,,,2,,O,,,,,,,,,,,,,
Species,SPARROW HAWK,1988,,,,O,,O,O,,,,,,O,,,,,,,,,,,,,,,+2R,+2R,+2R,+2R,+2R,,O,,,O,,,U,,U,,,,O,,O,O,,
Species,KESTREL,1988,O,,,,O,,O,,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,U,,,,,F,,,1R,1R,1R,1R,,,
Species,MERLIN,1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Species,PHEASANT,1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O,,,,,,,,,,,,,,,,,,,
Species,WATER RAIL,1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Species,CORN CRAKE,1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Species,MOORHEN,1988,2R,2R,2R,2R,2R,2R,2R,2R,2R,2R,2R,,2R,,2R,2R,2R,2R,2R*,2R,C,C,C,C,C,C**,A,A,C,A,A,A,C,C,C,C,C,C,C,C,C,C,C,,C,C,C,C,C,C,*CHICKS; **2ND BROOD
Species,OYSTERCATCHER,1988,A,A,A,A,A,A,A,A*,A,A,A,,A,,A,A,A,C,A,U,O,,,,,,,,,,F12**,C,F25,F20,A,A,A,A,A,A,A,A,A,,A,A,A,A,A,A,*F250; 13TH Aug
Species,GOLDEN PLOVER,1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Species,LAPWING,1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Species,SNIPE,1988,,,,,,,,,3,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O,,,O,,,O,,U,,,
Species,WOODCOCK,1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Species,CURLEW,1988,F80,,,F50,O,F12,,F30,,,,,,,,,,,,,,,,,,,,,,,,,O,,,,,F25,,,F30,,3,,,F7,,F12,U,F6,
Species,REDSHANK,1988,,,,,,,,,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O,,,,,
Species,BLACK-HEADED GULL,1988,A,A,A,A,A,A,A,A,A,A,A,,C,,,,,,,,,,,,F12,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,A,A,A,A,A,A,
Species,COMMON GULL,1988,,O,,O,O,U,U,,U,U,O,,,,,,,,,,,,,,,,,,,,,O,3,O,O,O,,U,O,,U,,,,,,,,U,,
Species,LESSER B.B. GULL,1988,,,,,,,2,O,,,,,,,,,,,,,,,,,,,,,,,,,O,,,,,,,,O,,,,,,,,,,
Species,HERRING GULL,1988,A,A,A,A,A,A,A,A,A,A,A,,A,,A,C,C,C,C,C,C,C,F,F,F,C,C,C,C,C,C,C,A,A,C,C,C,C,C,A,A,A,A,,A,A,A,A,A,A,
Species,GREATER B.B. GULL,1988,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,O,,O,,,,,,O,,,,,,,,,,,,,
Species,TOWN PIGEON,1988,U,U,,U,U,U,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,,,,,,O,,,,,,,,,,
Species,STOCK DOVE,1988,,,,O,U,O,,O,O,C,O,,C,,2,C,C,C,F,C,C,C,C,C,C,F,F,F,F,F,F,F,F,F,F,O,O,,,,,,O,,U,O,,,U,,
Species,WOODPIGEON,1988,A,A,A,A,A,A,A,A,A,A,A,,A,,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,A,A,A,A,A,A,
Species,COLLARED DOVE,1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Species,CUCKOO,1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Species,LONG-EARED OWL,1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Species,SWIFT,1988,,,,,,,,,,,,,,,,,,C,A,A,A,A,A,A,A,A,A,A,A,A,F,O,,,,,,,,,,,,,,,,,,,
Species,KINGFISHER,1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Species,SKYLARK,1988,,,,,,,,,2,O,,,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Species,SWALLOW,1988,,,,,,,,,,,,,,,,,F18,F,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,C,C,,,O,,,,,,,,,,
Species,HOUSE MARTIN,1988,,,,,,,,,,,,,,,,,,,2,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,C,3*,,,,,,,,,,,,*6/10
Species,MEADOW PIPIT,1988,,,,O,F4,,U,,U,C,C,,C,,C,C,,,,,,,,,,,,,,,,,,,,F,,C,U,U,C,C,A,,A,C,U,U,O,F,
Species,GREY WAGTAIL,1988,O,,O,,U,O,U,U,U,O,O,,,,,,,,,,,,,,,O,,,,,,,,,,,O,U,O,O,O,U,O,,O,U,1R,1R,1R,1R,
Species,PIED WAGTAIL,1988,A,A,A,A,A,A,A,A,A,A,A,,A,,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,A,A,A,A,A,A,
Species,WREN,1988,A,A,A,A,A,A,A,A,A,A,A,,A,,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,A,A,A,A,A,A,
Species,DUNNOCK,1988,C,C,C,C,C,C,C,C,C,C,C,,C,,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,,C,C,C,C,C,C,
Species,ROBIN,1988,A,A,A,A,A,A,A,A,A,A,A,,A,,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,A,A,A,A,A,A,
Species,WINCHAT,1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
Species,STONECHAT,1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O*,,,,,,,,,,,,,,,,,3rd Sept
Species,WHEATEAR,1988,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,2,,,,,,U,,,,,,,,,
Species,BLACKBIRD,1988,A,A,A,A,A,A,A,A,A,A,A,,A,,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,A,A,A,A,A,A,
Species,FIELDFARE,1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Species,SONG THRUSH,1988,C,C,C,C,C,C,C,C,C,C,C,,C,,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,,,C,C,C,C,C,C,C,C,C,,C,C,C,C,C,C,
Species,REDWING,1988,,U,C,,U,C,U,C,C,C,C,,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,3*,,3,,U,O,U,F,C,O,* 18/10
Species,MISTLE THRUSH,1988,U,U,U,U,C,C,C,C,C,C,C,,,,C,C,C,C,C,C,C,C,C,C,C,C,C,C,,U,,,U,U,F60,A,A,A,,U,C,F,C,,C,C,C,A,A,C,
Species,WHITETHROAT,1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Species,BLACKCAP,1988,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,O,,,,,,,,,,,
Species,SEDGE WARBLER,1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Species,CHIFF CHAFF,1988,,,,,,,,,,,,,,,,,,,,O,O,,,,,,,,,,,,,2,12,C,C,C,U,O,,,,,,,,,,,
Species,WILLOW WARBLER,1988,,,,,,,,,,,,,,,,,1R*,F,,,O,,,,,,,,F,C17,2,O,4,C**,A,C,,,,,,,,,,,,,,,*19TH; **20 + IN A DAY
