Record_Type,Original_Entry,Year,NA,15/01,22/01,29/01,05/02,12/02,19/02,26/02,05/03,12/03,19/03,26/03,02/04,09/04,16/04,23/04,30/04,07/05,14/05,21/05,28/05,04/06,11/06,18/06,25/06,02/07,09/07,16/07,23/07,NA,NA,NA,20/08,27/08,NA,NA,17/09,24/09,31/09,07/10,15/10,22/10,29/10,05/11,12/11,19/11,26/11,03/12,10/12,17/12,24/12,31/12,Notes
Weather,Weather,1989,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,,,NA,NA,,,,,,,,,,,,,,,,,
Species,Cormorant,1989,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,,,NA,NA,,,,,,,,,,,,,,,,,
Species,Grey Heron,1989,NA,,,O,,,O,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,,,NA,NA,,O,,,,,,,O,,,,,,,,
Species,Mute Swan,1989,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,,,NA,NA,,,,,,,O,,,O,,,,,,,
Species,Snow Goose,1989,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,,,NA,NA,,,,,,,,,,,,,,,,,
Species,Teal,1989,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,,,NA,NA,,,,,,,,,,,,,,,,,
Species,Mallard,1989,NA,,,F,U,U,2R,U,C,C,C,C,C,C,A,A,A,A,A,A,A,A,A,A*,A,A,A,A,A,NA,NA,NA,A**,A,NA,NA,A,A,A,A,A,A,A,A,A,A,C,C,C,C,C,C,
Species,Tufted Duck,1989,NA,,,,,,,,,,,,,,,,4x F11,C,C,,2,,,,2,,,3,,NA,NA,NA,,,NA,NA,,3,,,,,,,,,,,,,,,
Species,Sparrow Hawk,1989,NA,O,O,,O,O,,,,,O,,O,,,,,,,,,,,,,,O,,,NA,NA,NA,O,,NA,NA,O,,,,,,,O,O,,U,O,O,O,,,
Species,Kestrel,1989,NA,O,O,,,O,,,,,,,,,U,,O,U,,,,,,,,,,,,NA,NA,NA,,,NA,NA,,,,,,,,,,U,,U,O,U,O,O,
Species,Merlin,1989,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,,,NA,NA,,,,,,,,,,,,,,,,O,
Species,Pheasant,1989,NA,,,,,,,,,,,,,,,,U,,,,,,,,,,,,,NA,NA,NA,,,NA,NA,,,,,,,,,,,,,,,,,
Species,Water Rail,1989,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,,,NA,NA,,,,,,,,,,,,,,,,,
Species,Corn Crake,1989,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,,,NA,NA,,,,,,,,,,,,,,,,,
Species,Moorhen,1989,NA,C,C,C,C,C,2R,2R,2R,2R,2R,2R,2R,2R,2R*,2R*,2R*,2R*,2R*,2R*,2R*,2R*,2R*,2R*,2R**,C,O,U,U,NA,NA,NA,C***,C,NA,NA,C,C,C,C,C,C,C,C,5R,C,C,C,C,5R,C,C,
Species,Oystercatcher,1989,NA,A,A,A,A,A,A,A,A,A,A,A,C,A,A,,,,,,,,,,,,,,,NA,NA,NA,,O*,NA,NA,O,O,O,F5,A,A,A,A,A,A,A,A,A,A,A,A,
Species,Golden Plover,1989,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,,,NA,NA,,,,,,,,,,,,,,,,,
Species,Lapwing,1989,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,,,NA,NA,,,,,,,F21,,,,,,,O,,,
Species,Snipe,1989,NA,U,O,O,O,C,O,,,,,,,O,,,,,,,,,,,,,,,,NA,NA,NA,,,NA,NA,,,,,,,,,,O,,,,O,,,
Species,Curlew,1989,NA,F18,F18,A,F25,F29,F7,C,F9 F7,F4 F25,,,O,,,,,,,,,,,,,,,,,NA,NA,NA,,,NA,NA,,,F5,,A,A,A,U,C,C,,O,F12,F3,,,
Species,Redshank,1989,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,,,NA,NA,,,,,,,,,,,,,,,,,
Species,Black-Headed Gull,1989,NA,A,A,A,A,A,A,A,A,A,A,,,,,,,F8,,,,,2,O,U,A,A,A,A,NA,NA,NA,A,A,NA,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,
Species,Common Gull,1989,NA,U,,U,,U,U,U,O,O,,,,,,,,,,,,,,,,,,,,NA,NA,NA,,,NA,NA,U,,,,,O,O,,U,O,,,5,,,U,
Species,Lesser B-B Gull,1989,NA,,,,,O,,,,,,,2,,,,,,,O,,,,,,,,,,NA,NA,NA,,,NA,NA,,,,,,,O,,,,,,,,,,
Species,Herring Gull,1989,NA,A,A,A,A,A,A,A,A,A,A,A,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,C,C,NA,NA,NA,C,A,NA,NA,A,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,
Species,Greater B-B Gull,1989,NA,,U,U,O,,,,,,,,,,,,,O,,,O,,O,,,O,,,,NA,NA,NA,,,NA,NA,,,,,,,,,,,U,,,,,,
Species,Town Pigeon,1989,NA,,,,,,,,,,,,,,,U,U,,,,,,,,,,,,,NA,NA,NA,,,NA,NA,,,,,,U,,O,,,U,U,U,,U,U,
Species,Stock Dove,1989,NA,C,F,C,C,C,C,C,C,C,C,,,U,F,F,F,U,,F,U,C,F,C,C,C,,,,NA,NA,NA,O,O,NA,NA,,U,U,F,U,,,,O,O,U,O,U,C,C,C,
Species,Wood Pigeon,1989,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,NA,NA,NA,A,A,NA,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,
Species,Collared Dove,1989,NA,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,NA,NA,NA,,,NA,NA,,,,,,,,,,,,,,,,,
Species,Cuckoo,1989,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,,,NA,NA,,,,,,,,,,,,,,,,,
Species,Long-Eared Owl,1989,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,,,NA,NA,,,,,,,,,,,,,,,,,
Species,Swfit,1989,NA,,,,,,,,,,,,,,,,3*,,A,A,A,A,A,A,A,A,A,A,A,NA,NA,NA,,,NA,NA,,,,,,,,,,,,,,,,,
Species,Kingfisher,1989,NA,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,NA,NA,NA,,,NA,NA,,,,,,,,,,,,,,,,,
Species,Skylark,1989,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,,,NA,NA,,,,,,,,O,,,,,,,,,
Species,Swallow,1989,NA,,,,,,,,,,,,,F8*,F**,C,C,A,A,A,A,A,A,A,A,A,A,A,A,NA,NA,NA,A,A,NA,NA,A,A,A,,2*,,,,,,,,,,,,
Species,House Martin,1989,NA,,,,,,,,,,,,,,,,,,C*,C,A,A,A,A,A,A,A,A,A,NA,NA,NA,A,A,NA,NA,A,A,C,,,,,,,,,,,,,,
Species,Meadow Pipit,1989,NA,U,C,C,C,A,A,A,C,A,C,A,C,,F,F,2R,O,2R,U,2R,2R,2R,2R,C,C,C,C,C,NA,NA,NA,,,NA,NA,U,U,C,C,A,A,C,C,A,A,C,A,A,A,C,C,
Species,Grey Wagtail,1989,NA,1R,,O,O,U,,U,1R,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,,,NA,NA,U,,,,F,,U,U,U,U,U,O,,U,U,,
Species,Pied Wagtail,1989,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,NA,NA,NA,A,A,NA,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,
Species,Wren,1989,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,NA,NA,NA,A,A,NA,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,
Species,Dunnock,1989,NA,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,NA,NA,NA,C,C,NA,NA,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,
Species,Robin,1989,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,NA,NA,NA,A,A,NA,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,
Species,Whinchat,1989,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,,,NA,NA,,,,,,,,,,,,,,,,,
Species,Stonechat,1989,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,,,NA,NA,,,,,,,,,,,,,,,,,
Species,Wheatear,1989,NA,,,,,,,,,,,,,O,,,,O,,O,,,,,,,,,,NA,NA,NA,,,NA,NA,O,,,,,,,,,,,,,,,,
Species,Blackbird,1989,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,NA,NA,NA,A,A,NA,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,
Species,Fieldfare,1989,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,,,NA,NA,,,,,,,,,,,2,,3,,,,
Species,Song Thrush,1989,NA,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,A,A,A,A,A,A,A,F,F,,NA,NA,NA,F,,NA,NA,C,C,C,C,C,C,C,C,F,C,F,F,F,C,C,C,
Species,Redwing,1989,NA,U,U,U,U,F5,,,O,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,,,NA,NA,,,,,,,,,,U,A,C,,O,U,,
Species,Mistle Thrush,1989,NA,F,F,F,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,,C,F,F,U,NA,NA,NA,C,C,NA,NA,C,C,F,U,C,C,C,C,C,C,F,U,U,U,C,C,
Species,Sedge Warbler,1989,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,,,NA,NA,,,,,,,,,,,,,,,,,
Species,Whitethroat,1989,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,,,NA,NA,,,,,,,,,,,,,,,,,
Species,Black Cap,1989,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,,,NA,NA,,,,,,,,,O,,,,,,,,
Species,Chiff Chaff,1989,NA,,,,,,,,,,,,O*,,U,F,O,U,U,O,U,U,O,U,,,,,,NA,NA,NA,,,NA,NA,C,C,C,,,,,,,,,,,,,,
Species,Willow Warbler,1989,NA,,,,,,,,,,,,,,U,C,1R,F,F,U,O,U,2R,U,C,U,,O,,NA,NA,NA,,,NA,NA,U,U,N,O,,,,,,,,,,,,,
Species,Goldcrest,1989,NA,U,U,F,F,F,C,F,C,C,F,C,F,F,F,U,C,C,C,C,C,,,U,U,,U,F,,NA,NA,NA,F8,C,NA,NA,C,C,C,C,A,A,C,C,C,C,C,C,C,F,F,U,
Species,Spotted Flycatcher,1989,NA,,,,,,,,,,,,,,,,,,,,,O,,O,,,,,,NA,NA,NA,,,NA,NA,,,,,,,,,,,,,,,,,
Species,Long-Tailed Tit,1989,NA,,,C,3x F5,,,,,,,,,2,,,,,,,,,,,,,,,,NA,NA,NA,,,NA,NA,,,,,,,F14,,F15,F10,,F4 F14,C,C,,F12,
