Record_Type,Original_Entry,Year,07/01,14/01,21/01,28/01,04/02,11/02,18/02,25/02,04/03,11/03,18/03,25/03,01/04,08/04,15/04,22/04,29/04,06/05,13/05,20/05,27/05,03/06,10/06,17/06,24/06,01/07,08/07,15/07,22/07,29/07,NA,NA,NA,26/08,02/09,09/09,16/09,23/09,30/09,07/10,14/10,21/10,28/10,04/11,11/11,18/11,25/11,02/12,09/12,16/12,23/12,30/12,Notes
Weather,Weather,1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,
Species,Cormorant,1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,3,,,,,,,,,O,,,,,,,,,,
Species,Grey Heron,1990,O,,O,O,,O,,,,,,,U,,,U,U,2,,U,O,,O,,,,,O,,,NA,NA,NA,,,O,O,,,,,O,U,,,,,,O,O,,,
Species,Mute Swan,1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,
Species,Snow Goose,1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,
Species,Teal,1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,
Species,Mallard,1990,C,C,C,C,F,A,C,C,C,C,C,C,C,C,A,A,A,A,C,A,C,C,C,C,C,C,C,F,F*,C*,NA,NA,NA,,,F,F,F,F,F,C,C,C,,,,F15,A,A,A,,,
Species,Tufted Duck,1990,,,,,,,,,,,,,,,,,,,O,O,,,,,,,,,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,
Species,Sparrow Hawk,1990,,3,,O,O,,O,,,,,,U,,,,O,O,,,,,2R,2R,2R,2R,2R,2R*,2R*,2R*,NA,NA,NA,,O,,O,,,O,,O,,O,U,U,O,O,U,F,O,,
Species,Hen Harrier,1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,
Species,Merlin,1990,,,,,,,,,,,,,,,,,,,,,,,O,,,,,,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,
Species,Kestrel,1990,,O,O,,,,O,U,O,,,,,,,O,,,,,,,U,,,,,,,,NA,NA,NA,,,,,,,,,,,O,,,,,,,,,
Species,Pheasant,1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,O,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,
Species,Moorhen,1990,C,C,C,C,C,C,C,C,C,C,C,C,F,C,C,C,C*,C*,C,C,C,C,C,C,C,C,C,C+,C+,C+,NA,NA,NA,C,C,C,C,C,2R,2R,C,C,C,C,C,C,C,C,C,C,C,C,
Species,Corn Crake,1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,
