Record_Type,Original_Entry,Year,NA,13/01,20/01,27/01,03/02,10/02,17/02,24/02,03/03,10/03,17/03,24/03,31/03,07/04,14/04,21/04,28/04,05/05,12/05,19/05,26/05,02/06,09/06,16/06,23/06,30/06,07/07,14/07,21/07,28/07,04/08,11/08,18/08,NA,NA,08/09,15/09,22/09,29/09,06/10,13/10,20/10,27/10,03/11,10/11,17/11,24/11,01/12,08/12,15/12,22/12,29/12,Notes
Weather,Weather,1991,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,,
Species,Cormorant,1991,NA,O,,O,,O,,,,,,,,,,,,O,,,,,,,,,O,,,,,,,NA,NA,,,,,,,,,,,,,,,,,,
Species,Grey Heron,1991,NA,O,O,O,,U,,O,,O,,U,O,,O,O,,,U,,,,,,,O,,,,,,,,NA,NA,O,,O,O,O,,,O,O,,,O,,,,O,,
Species,Mute Swan,1991,NA,,,,,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,,O,,,,,,,,,,,,
Species,Snow Goose,1991,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,,
Species,Teal,1991,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,,
Species,Mallard,1991,NA,,F,C,C,C,C,C,A,C,C,C,C,A,A,A,A,A,A,A,A,A,A,A,C,C,C,C,,C,C,C,C,NA,NA,,,,U,U,C,C,A,A,A,A,A,A,A,A,A,C,
Species,Tufted Duck,1991,NA,,,,,,,,,,,,,2,F10,,F4,,,,,,,,,,,,,,,,,NA,NA,,O,,,,,,,,,,,,,,,,
Species,Hen Harrier,1991,NA,,,,,,,,,,,,,,,,,,,,,,,,O,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,,
Species,Sparrow Hawk,1991,NA,O,O,,,U,U,,,,,U,1R,1R,,,,,O,,,,,U,2R,2R,2R,2R,2R + 1,2R + 1,3*,1R,O,NA,NA,1R,,,,O,,,,,O,U,U,,,,,,
Species,Kestrel,1991,NA,,,,,O,,,,,,,,,,O,,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,O,O,U,1R,1R,1R,1R,1R,1R,
Species,Merlin,1991,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,O,,,,,,,,,,,,,
Species,Pheasant,1991,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,,
Species,Water Rail,1991,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,,
Species,Corn Crake,1991,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,,
Species,Moorhen,1991,NA,,U,2R,C,2R,C,C,C,C,C,C,C,C,C,2R,2R,2R,2R*,5R,C,C,C,C,C,C,C,C,,C,C,C,C,NA,NA,C,C,C,C,F,C,C,C,C,C,C,C,C,C,C,C,C,
Species,Oystercatcher,1991,NA,C,A,A,A,A,A,A,A,A,A,A,,,F50,,,,,,,,,,,,,,,,,O,,NA,NA,,,,O,F,A,A,,A,C,A,A,A,A,A,F200,A,
Species,Golden Plover,1991,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,,
