Record_Type,Original_Entry,Year,05/01,12/01,19/01,26/01,02/02,09/02,16/02,23/02,01/03,08/03,15/03,22/03,29/03,05/04,12/04,19/04,26/04,03/05,10/05,17/05,24/05,31/05,07/06,14/06,21/06,28/06,04/07,NA,NA,NA,NA,NA,NA,NA,NA,06/09,13/09,20/09,27/09,04/10,11/10,18/10,25/10,01/11,08/11,15/11,22/11,29/11,6/12,13/12,20/12,27/12,Notes
Weather,Weather,1992,Dry & Cold,Dry & Cold,Mild,Dry & Cold & Frost,NA,Mild & Dry,Mild & Dry,Mild & Dry,Mild & Dry,Mild & Dry,Cool & Windy & Rain,Mild & Rain & Wind,Cold & Rain,Wet & Cold,Fine & Mild,Cold & Showers & Dry,Cold & Rain,Windy & Showers,Warm,Sunny & Showers & Wind,Fine,Fine & Warm,Warm & Showers,Fine & Warm,Fine & Warm,Fine & Dry,Fine & Rain,NA,NA,NA,NA,NA,NA,NA,NA,Cool & Showers,Showers,Showers,Fine & Showers,Wet & Windy,Fine & Dry,Fine & Dry & Cold,Cold & Rain,Cold & Dry,Mild & Dry,Cold & Frost & Dry,Cold & Rain,Windy & Wet & Mild,Windy & Wet & Cold,Windy & Wet & Cold & Mild,Wet & Windy & Cold & Frost,Cold & Mild & Dry,
Species,Cormorant,1992,,,,O,NA,,,,,,,,,,,,,,,O*,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,"*""lake"""
Species,Grey Heron,1992,,,,,NA,,O,O,,,,O,O,2*,O,,,O,,2,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,O,,,O,,,,,,,,O,,"*""pair"""
Species,Mute Swan,1992,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,O,O,,,,,,
Species,Snow Goose,1992,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Species,Teal,1992,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Species,Mallard,1992,A,A,A,A,NA,A,A,C,C,C,A,A,A,A,A,A,A,A,A*,A**,A,A,A,A,A,A,A,NA,NA,NA,NA,NA,NA,NA,NA,A,,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,"*""2 young"" & **""16 young"""
Species,Tufted Duck,1992,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Species,Hen Harrier,1992,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Species,Sparrow Hawk,1992,,,,U,NA,,O,,U,O,,O,,,O,,,,O,O,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,U,,,U,O,,,,O,O,,U,F,U,,,,
Species,Kestrel,1992,,,,O,NA,O,U,O,,O,O,,O,,O,O,,O,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,O,,U,,,,
Species,Merlin,1992,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Species,Pheasant,1992,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Species,Water Rail,1992,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
Species,Corn Crake,1992,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
