Record_Type,Original_Entry,Year,5/1,12/1,19/1,26/1,2/2,9/2,16/2,23/2,1/3,8/3,15/3,22/3,29/3,5/4,12/4,19/4,26/4,3/5,10/5,17/5,24/5,31/5,7/6,14/6,21/6,28/6,4/6,,6/9,13/9,20/9,27/9,4/9,11/10,18/10,25/10,1/11,8/11,15/11,22/11,29/11,6/12,13/12,20/12,27/12,Notes
NOTE,,1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOTE BY W.G. - THE DATE LABELLED 4/9 IS PROBABLY AN ERROR AND SHOULD READ 4/10 FOR 4TH OCTOBER.
Species,CORMORANT,1992,,,,O,,,,,,,,,,,,,,,,O*,,,,,,,,,,,,,,,,,,,,,,,,,,* LAKE 15/5
Species,GREY HERON,1992,,,,,,,O,O,,,,O,O,2*,O,,,O,,2,,,,,,,,,,,,,O,,,O,,,,,,,,O,,* PAIR
Species,MUTE SWAN,1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O,O,,,,,,
Species,SNOW GOOSE,1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Species,TEAL,1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Species,MALLARD,1992,A,A,A,A,,A,A,C,C,C,A,A,A,A,A,A,A,A,A*,A**,A,A,A,A,A,A,A,,A,,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,* 12 YOUNG 4/5; ** 16 YOUNG
Species,TUFTED DUCK,1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Species,GOLDENEYE,1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Species,HEN HARRIER,1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Species,SPARROWHAWK,1992,,,,U,,,O,,U,O,,O,,,O,,,,O,O,,,,,,,,,U,,,U,O,,,,O,O,,U,F,U,,,,
Species,KESTREL,1992,,,,O,,O,U,O,,O,O,,O,,O,O,,O,,,,,,,,,,,,,,,,,,,,,,O,,U,,,,
Species,MERLIN,1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Species,PHEASANT,1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Species,WATER RAIL,1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
