Record_Type,Original_Entry,Year,03/01,10/01,17/01,24/01,31/01,07/02,14/02,21/02,28/02,07/03,14/03,21/03,28/03,04/04,11/04,18/04,25/04,02/05,09/05,16/05,23/05,30/05,07/06,14/06,NA,27/06,04/07,11/07,25/07,01/08,08/08,15/08,22/08,29/08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Notes
Weather,Weather,1993,,,,,,,,,,,,,,,NA,,,,,,,,,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Species,Cormorant,1993,,O,O,O,,O,1R*,1R,1R,1R,,,,,NA,,O,O,,,,C*,U,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Species,Grey Heron,1993,,,,U,,,,,,,,,,,NA,2,U,O,F,U,,C,U,,NA,O,U,U,,,,U,U,U,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Species,Mute Swan,1993,,F9,,,O,,,,,,,,,,NA,,,,2*,,,,,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Species,Snow Goose,1993,,,,,,,,,,,,,,,NA,,,,,,,,,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Species,Teal,1993,,,,,,,,,,,,,,,NA,,,,,,,,,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Species,Mallard,1993,C,C,C,C,A,C,A,A,A,A,A,A,A,A,NA,A,A,A,A,A,A,A,A,A,NA,A,A,A,A,A,A,A50,A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Species,Tufted Duck,1993,,,,O,,,,O,,,,,,,NA,,,,,,,U,U,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Species,Goldeneye,1993,,,,,,,,,,,,,,,NA,,,,,,,,,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Species,Hen Harrier,1993,,,,,,,,,,,,,,,NA,,,,,,,,,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Species,Sparrow Hawk,1993,,,,U,U,,,,O*,,,,,,NA,,,,O,,,,,,NA,O,,,,,,,O,O,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Species,Kestrel,1993,O,,O,,O,O,,,,,,,,,NA,,,,,,,,,,NA,,,,O,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Species,Merlin,1993,,,,,,,,,,,,,,,NA,,,,,,,,,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Species,Pheasant,1993,,,,,,,,,,,,,,,NA,,,,,,,,,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Species,Water Rail,1993,,,,,,,,,,,,,,,NA,,,,,,,,,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Species,Corn Crake,1993,,,,,,,,,,,,,,,NA,,,,,,,,,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Species,Moorhen,1993,C,C,C,C,C,C,C,C,C,C,C,C,C,C,NA,C,C,C,C,C,C,C,C,C,NA,C,C,C,C,C,C,C,C,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Species,Oystercatcher,1993,A,A,A,A,A,A,A,A,A,,,F21,U,,NA,,,,,,,F12,2F4,,NA,,,,,,,F4,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Species,Golden Plover,1993,,,,,,,,,,,,,,,NA,,,,,,,,,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Species,Lapwing,1993,,,,,,,,,,,,,,,NA,,,,,,,,,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Species,Dunlin,1993,,,,,,,,,,,,,,,NA,,,,,,,,,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Species,Jack Snipe,1993,,,,,,,,,,,,,,,NA,,,,,,,,,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Species,Snipe,1993,,,,,,,,,,,,,,,NA,,,,,,,,,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Species,Curlew,1993,U,F,2,,U,C,U,C,F,U,,,,,NA,,,,,,,,,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Species,Redshank,1993,,,2,,,,,,,,,,,,NA,,,,,,,,,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Species,Black-Headed Gull,1993,A,A,A,A,A,A,A,A,A,A,A,A,A,C,NA,,O,U,,,,,,,NA,,,1R,C,A,A,A,A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Species,Common Gull,1993,,U,F30,F,U,U,U,U,U,U,,U,U,O,NA,,,,,,,,,,NA,,,,U,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Species,Lesser B-B Gull,1993,,,O,,,,,,,,,,,,NA,,,,,,,,,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Species,Herring Gull,1993,A,A,A,A,A,A,A,A,A,A,A,A,A,A,NA,C,C,C,C,C,C,C,C,C,NA,C,C,C,C,C,C,C,C,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Species,Greater B-B Gull,1993,C,F,U,U,U,U,,O,U,O,,,,O,NA,,,O,,,,O,O,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Species,Rock Dove,1993,,,,,,,,,,,,,,2,NA,,,,,,,,,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Species,Town Pigeon,1993,,,,,,,,,,,U,,,,NA,,,,,,,,,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Species,Stock Dove,1993,U,U,F10,25R,C,A,30R,A,A,A,C,F,F,F,NA,C,A,C,C,F,F,F,F,U,NA,U,U,U,U,U,U,U,U,U,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Species,Wood Pigeon,1993,A,A,A,A,A,A,A,A,A,A,A,A,A,A,NA,A,A,A,A,A,A,A,A,A,NA,A,A,A,A,A,A,A,A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Species,Collared Dove,1993,,,,,,,,,,,,,2,,NA,,,,,,,,O,,NA,U,U,U,U,,O,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Species,Turtle Dove,1993,,,,,,,,,,,,,,,NA,,,,,,,,,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Species,Long-Eared Owl,1993,,,,,,,,,,,,,,,NA,,,,,,,,,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Species,Swift,1993,,,,,,,,,,,,,,,NA,,,,O*,U,A,A,A,A,NA,A,A,A,A,A,A,A,A,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Species,Kingfisher,1993,,,,,,,,,,,,,,,NA,,,,,,,,,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Species,Skylark,1993,,,,,,O,,,,,,,,,NA,,,,,,,,,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Species,Sand Martin,1993,,,,,,,,,,,,,,,NA,,,,,,,,,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Species,Swallow,1993,,,,,,,,,,,,,,2*,NA,2,C,C,C,C,A,A,C,A,NA,A,A,A,A,A,A,A,A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Species,House Martin,1993,,,,,,,,,,,,,,,NA,,,3,F,A,A,C,U,U,NA,C,F,F,U,C,C,C,A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Species,Meadow Pipit,1993,C,C,C,O,F,F,U,U,U,U,C,C,C,U,NA,,,,,,,,,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Species,Grey Wagtail,1993,U,F,F,O,O,U,U,O,O,O,O,,,,NA,,,,,,,,,,NA,,,,,,,,O,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
