Record_Type,Original_Entry,Year,NA,NA,NA,NA,NA,NA,17/02,24/02,04/03,NA,18/03,25/03,01/04,NA,15/04,NA,NA,NA,NA,NA,27/05,03/06,10/06,17/06,NA,01/07,08/07,15/07,NA,NA,NA,NA,NA,NA,NA,NA,16/09,23/09,30/09,07/10,NA,NA,NA,04/11,11/11,18/11,25/11,02/12,09/12,NA,NA,NA,Notes
Weather,Weather,1995,NA,NA,NA,NA,NA,NA,Windy & Wet,Windy & Wet,Cold & Showers,NA,Cold & Wet,Mixed,Dry & Warm,NA,NA,NA,NA,NA,NA,NA,,Dry & Dull,Dry & Dull,Dry & Dull & Sunny,NA,Hot & Dry,Hot & Thunder,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,Mild & Dry,Mild & Dry,Dry & Mild,Dry & Mild,Wet & Cool,Cold,NA,NA,NA,
Species,Cormorant,1995,NA,NA,NA,NA,NA,NA,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,,,,,,,NA,NA,NA,
Species,Grey Heron,1995,NA,NA,NA,NA,NA,NA,O,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,O,,O,O,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,2,,,,,,NA,NA,NA,
Species,Mute Swan,1995,NA,NA,NA,NA,NA,NA,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,,,,,,,NA,NA,NA,
Species,Snow Goose,1995,NA,NA,NA,NA,NA,NA,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,,,,,,,NA,NA,NA,
Species,Teal,1995,NA,NA,NA,NA,NA,NA,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,,,,,,,NA,NA,NA,
Species,Mallard,1995,NA,NA,NA,NA,NA,NA,A,A,A,NA,A,A,A,NA,NA,NA,NA,NA,NA,NA,A,A,A,A,NA,A,A,A,NA,NA,NA,NA,NA,NA,NA,NA,A,A,A,A,NA,NA,NA,A,A,A,A,A,A,NA,NA,NA,
Species,Tufted Duck,1995,NA,NA,NA,NA,NA,NA,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,6,C,C,C,NA,1R,C,C,NA,NA,NA,NA,NA,NA,NA,NA,U,,,,NA,NA,NA,,,,,,,NA,NA,NA,
Species,Goldeneye,1995,NA,NA,NA,NA,NA,NA,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,,,,,,,NA,NA,NA,
Species,Hen Harrier,1995,NA,NA,NA,NA,NA,NA,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,,,,,,,NA,NA,NA,
