"","X","ID","Order","Family","Species","LengthU_MEAN","WingU_MEAN","WingM_MEAN","WingF_MEAN","TailU_MEAN","TailM_MEAN","TailF_MEAN","BillU_MEAN","BillM_MEAN","BillF_MEAN","TarsusU_MEAN","TarsusM_MEAN","TarsusF_MEAN","WeightU_MEAN","WeightM_MEAN","WeightF_MEAN","Sexual.dimorphism","Clutch_MIN","Clutch_MAX","Clutch_MEAN","EggL_MEAN","EggW_MEAN","Egg_MASS","Young","Mating.system","Incubation.period","Age.of.first.breeding","Life.span","Association.outside.the.breeding.season","Territoriality","Sedentary","Facultative.migrant","Short.distance.migrant","Long.distance.migrant","Deciduous.forest","Coniferous.forest","Woodland","Shrub","Savanna","Tundra","Grassland","Mountain.meadows","Reed","Swamps","Desert","Freshwater","Marine","Rocks","Human.settlements","Folivore_Y","Frugivore_Y","Granivore_Y","Arthropods_Y","Other.invertebrates_Y","Fish_Y","Other.vertebrates_Y","Carrion_Y","Omnivore_Y","Folivore_B","Frugivore_B","Granivore_B","Arthropods_B","Other.invertebrates_B","Fish_B","Other.vertebrates_B","Carrion_B","Omnivore_B","Data.source"
"3",3,3,"Accipitriformes","Accipitridae","Accipiter nisus (Linnaeus, 1758)",33,221.5,203,240,164.5,149,180,12.9,11.4,14.4,57.2,53.4,61,204,144,264,1,3,7,4.5,40,32,23,"SA","M",34,2,20,"SO",1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,"(1) Cramp, S. (2006) The Birds of the Western Palearctic interactive. Oxford University Press and BirdGuides; (2) Fransson, T., Kolehmainen, T., Kroon, C., Jansson, L. & Wenninger, T. (2010) EURING list of longevity records for European birds."
"10",10,10,"Accipitriformes","Accipitridae","Buteo buteo (Linnaeus, 1758)",54,392.5,387,398,211.5,208,215,22.3,21.6,23,75.75,75,76.5,806.5,732,881,0,2,4,3,55,44,53,"SA","M",33,3,29,"SO",1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,"(1) Cramp, S. (2006) The Birds of the Western Palearctic interactive. Oxford University Press and BirdGuides; (2) Fransson, T., Kolehmainen, T., Kroon, C., Jansson, L. & Wenninger, T. (2010) EURING list of longevity records for European birds."
"15",15,15,"Accipitriformes","Accipitridae","Circus cyaneus (Linnaeus, 1766)",48,357,338,376,228,213,243,16.75,15.5,18,71.9,69.3,74.5,436.5,346,527,1,4,8,5,46,36,31,"SA","M,PG",30,3,17,"SO",0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,"(1) Cramp, S. (2006) The Birds of the Western Palearctic interactive. Oxford University Press and BirdGuides; (2) Fransson, T., Kolehmainen, T., Kroon, C., Jansson, L. & Wenninger, T. (2010) EURING list of longevity records for European birds."
"34",34,34,"Anseriformes","Anatidae","Anas crecca Linnaeus, 1758",36,183.5,187,180,65.8,66.9,64.7,35.65,36.4,34.9,30.1,30.4,29.8,368,360,376,1,7,15,9.5,45,33,29,"PR","M",22,1,22,"GR",0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,1,"(1) Cramp, S. (2006) The Birds of the Western Palearctic interactive. Oxford University Press and BirdGuides; (2) Fransson, T., Kolehmainen, T., Kroon, C., Jansson, L. & Wenninger, T. (2010) EURING list of longevity records for European birds."
"35",35,35,"Anseriformes","Anatidae","Anas platyrhynchos Linnaeus, 1758",57.5,272,279,265,85.15,85.8,84.5,53.6,55.4,51.8,44.35,45.3,43.4,1119,1142,1096,1,4,18,11,57,41,51,"PR","M",27,1,23,"GR",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,1,"(1) Cramp, S. (2006) The Birds of the Western Palearctic interactive. Oxford University Press and BirdGuides; (2) Fransson, T., Kolehmainen, T., Kroon, C., Jansson, L. & Wenninger, T. (2010) EURING list of longevity records for European birds."
"37",37,37,"Anseriformes","Anatidae","Anser anser (Linnaeus, 1758)",82.5,453.5,465,442,134,139,129,64.05,66.6,61.5,81.75,84.7,78.8,3347,3578,3116,0,3,12,5,85.5,58,156,"PR","M",28,3,23,"GR",1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"(1) Cramp, S. (2006) The Birds of the Western Palearctic interactive. Oxford University Press and BirdGuides."
"42",42,42,"Anseriformes","Anatidae","Aythya fuligula (Linnaeus, 1758)",43.5,202.5,206,199,53.2,53.7,52.7,39.25,39.9,38.6,35.1,35.5,34.7,765.5,813,718,1,3,14,9.5,59,41,53,"PR","M",25,1,45,"GR",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,1,"(1) Cramp, S. (2006) The Birds of the Western Palearctic interactive. Oxford University Press and BirdGuides; (2) Fransson, T., Kolehmainen, T., Kroon, C., Jansson, L. & Wenninger, T. (2010) EURING list of longevity records for European birds."
"48",48,48,"Anseriformes","Anatidae","Bucephala clangula (Linnaeus, 1758)",46,211.5,220,203,81.05,84.6,77.5,31.35,33.3,29.4,36.95,38.8,35.1,840,964,716,1,5,13,9.5,59,43,63,"PR","M",30,2,17,"GR",1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,"(1) Cramp, S. (2006) The Birds of the Western Palearctic interactive. Oxford University Press and BirdGuides; (2) Fransson, T., Kolehmainen, T., Kroon, C., Jansson, L. & Wenninger, T. (2010) EURING list of longevity records for European birds."
"53",53,53,"Anseriformes","Anatidae","Cygnus olor (Gmelin, 1789)",152.5,605.5,624,587,217.5,224,211,78.35,80.9,75.8,110.3,114.4,106.2,11150,12300,10000,0,3,9,5.8,113,74,347,"PR","M",36,4,29,"GR",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"(1) Cramp, S. (2006) The Birds of the Western Palearctic interactive. Oxford University Press and BirdGuides; (2) Fransson, T., Kolehmainen, T., Kroon, C., Jansson, L. & Wenninger, T. (2010) EURING list of longevity records for European birds."
"73",73,73,"Caprimulgiformes","Apodidae","Apus apus (Linnaeus, 1758)",16.5,173,173,173,75.05,75.8,74.3,6.6,6.6,6.6,11.1,10.9,11.3,40,41,39,0,1,4,2.5,25,16,3.6,"AL","M",21,4,21,"GR",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"(1) Cramp, S. (2006) The Birds of the Western Palearctic interactive. Oxford University Press and BirdGuides."
